Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
1991-01-02,95.0,97.5,95.0,97.5,0.0,0.0,0.0,0.0,,,2.5,2.5
1991-01-03,95.0,98.75,92.5,96.25,0.0,0.0,0.0,0.0,,,6.25,1.25
1991-01-07,95.0,98.0,92.5,97.5,0.0,0.0,0.0,0.0,,,5.5,2.5
1991-01-09,100.0,102.5,95.0,98.75,0.0,0.0,0.0,0.0,,,7.5,-1.25
1991-01-11,96.25,101.25,93.75,100.0,0.0,0.0,0.0,0.0,,,7.5,3.75
1991-01-14,100.0,102.5,96.25,100.0,0.0,0.0,0.0,0.0,,,6.25,0.0
1991-01-23,100.0,100.0,95.0,100.0,0.0,0.0,0.0,0.0,,,5.0,0.0
1991-01-24,95.0,95.0,90.0,92.5,0.0,0.0,0.0,0.0,,,5.0,-2.5
1991-01-25,90.0,90.0,83.75,90.0,0.0,0.0,0.0,0.0,,,6.25,0.0
1991-01-31,97.5,102.5,93.75,97.5,0.0,0.0,0.0,0.0,,,8.75,0.0
1991-02-01,97.5,105.0,97.5,103.75,0.0,0.0,0.0,0.0,,,7.5,6.25
1991-02-04,107.5,113.75,102.5,105.0,0.0,0.0,0.0,0.0,,,11.25,-2.5
1991-02-05,110.0,111.25,105.0,107.5,0.0,0.0,0.0,0.0,,,6.25,-2.5
1991-02-06,108.75,110.0,104.0,106.25,0.0,0.0,0.0,0.0,,,6.0,-2.5
1991-02-07,105.0,105.0,100.0,105.0,0.0,0.0,0.0,0.0,,,5.0,0.0
1991-02-08,102.5,103.75,100.0,102.5,0.0,0.0,0.0,0.0,,,3.75,0.0
1991-02-11,100.0,102.5,96.25,100.0,0.0,0.0,0.0,0.0,,,6.25,0.0
1991-02-13,98.75,100.0,93.75,95.0,0.0,0.0,0.0,0.0,,,6.25,-3.75
1991-02-14,95.0,100.0,95.0,97.5,0.0,0.0,0.0,0.0,,,5.0,2.5
1991-02-15,98.75,100.0,97.5,100.0,0.0,0.0,0.0,0.0,,,2.5,1.25
1991-02-19,112.5,121.25,110.0,116.25,0.0,0.0,0.0,0.0,,,11.25,3.75
1991-02-20,116.25,117.5,111.25,117.5,0.0,0.0,0.0,0.0,,,6.25,1.25
1991-02-21,118.75,125.0,115.0,120.0,0.0,0.0,0.0,0.0,,,10.0,1.25
1991-02-22,122.5,125.0,118.75,123.75,0.0,0.0,0.0,0.0,,,6.25,1.25
1991-02-26,125.0,127.5,122.0,126.25,0.0,0.0,0.0,0.0,,,5.5,1.25
1991-02-27,125.0,127.5,121.25,127.5,0.0,0.0,0.0,0.0,,,6.25,2.5
1991-02-28,128.75,131.25,125.0,127.5,0.0,0.0,0.0,0.0,,,6.25,-1.25
1991-03-04,123.75,132.5,120.0,131.25,0.0,0.0,0.0,0.0,,,12.5,7.5
1991-03-05,130.0,132.5,127.5,130.0,0.0,0.0,0.0,0.0,,,5.0,0.0
1991-03-07,120.0,120.0,111.25,115.0,0.0,0.0,0.0,0.0,,,8.75,-5.0
1991-03-08,115.0,122.5,113.75,122.5,0.0,0.0,0.0,0.0,,,8.75,7.5
1991-03-11,120.0,120.0,113.75,117.5,0.0,0.0,0.0,0.0,,,6.25,-2.5
1991-03-12,115.0,116.25,111.25,116.25,0.0,0.0,0.0,0.0,,,5.0,1.25
1991-03-13,115.0,118.75,107.5,111.25,0.0,0.0,0.0,0.0,,,11.25,-3.75
1991-03-15,121.25,125.0,117.5,118.75,0.0,0.0,0.0,0.0,,,7.5,-2.5
1991-03-18,116.25,117.5,112.5,113.75,0.0,0.0,0.0,0.0,,,5.0,-2.5
1991-03-20,115.0,117.5,112.5,113.0,0.0,0.0,0.0,0.0,,,5.0,-2.0
1991-03-21,111.25,115.0,105.0,113.75,0.0,0.0,0.0,0.0,,,10.0,2.5
1991-03-22,116.25,117.5,111.25,112.5,0.0,0.0,0.0,0.0,,,6.25,-3.75
1991-03-25,111.25,112.5,107.5,108.75,0.0,0.0,0.0,0.0,,,5.0,-2.5
1991-03-26,108.75,112.5,106.25,110.0,0.0,0.0,0.0,0.0,,,6.25,1.25
1991-03-27,110.0,116.25,110.0,112.5,0.0,0.0,0.0,0.0,,,6.25,2.5
1991-04-01,112.5,116.25,110.5,115.0,0.0,0.0,0.0,0.0,,,5.75,2.5
1991-04-02,117.5,118.75,112.5,115.0,0.0,0.0,0.0,0.0,,,6.25,-2.5
1991-04-03,117.5,118.75,113.75,115.0,0.0,0.0,0.0,0.0,,,5.0,-2.5
1991-04-04,112.5,115.0,112.5,112.5,0.0,0.0,0.0,0.0,,,2.5,0.0
1991-04-05,113.75,118.75,113.75,116.25,0.0,0.0,0.0,0.0,,,5.0,2.5
1991-04-08,116.25,120.0,113.75,118.75,0.0,0.0,0.0,0.0,,,6.25,2.5
1991-04-09,122.5,125.0,120.0,123.75,0.0,0.0,0.0,0.0,,,5.0,1.25
1991-04-11,125.0,133.5,122.5,131.0,0.0,0.0,0.0,0.0,,,11.0,6.0
1991-04-12,137.0,139.0,134.0,137.5,0.0,0.0,0.0,0.0,,,5.0,0.5
1991-04-15,138.0,140.0,135.5,138.0,0.0,0.0,0.0,0.0,,,4.5,0.0
