Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2004-08-24,305.0,338.7,254.0,260.35,270.801811627,3467822.0,34041.0,939092480.0,364945.0,10.52,84.7,-44.65
2004-08-25,263.0,263.4,248.9,255.8,255.432050426,1436087.0,14663.0,366822647.0,262306.0,18.27,14.5,-7.2
2004-08-26,258.0,272.0,254.0,270.15,266.718685668,965205.0,10998.0,257438209.0,118396.0,12.27,18.0,12.15
2004-08-27,271.1,272.7,261.0,262.7,264.472319377,368543.0,5367.0,97469422.0,53552.0,14.53,11.7,-8.4
2004-08-30,264.0,269.0,263.0,266.0,265.519086961,155656.0,2508.0,41329639.0,28347.0,18.21,6.0,2.0
2004-08-31,265.9,268.3,264.85,265.95,266.153660759,86717.0,1616.0,23080047.0,27184.0,31.35,3.45,0.05
2004-09-01,267.5,273.5,265.0,267.35,269.999766598,141387.0,2463.0,38174457.0,32658.0,23.1,8.5,-0.15
2004-09-02,268.5,269.6,261.0,263.15,264.770863464,76749.0,1382.0,20320899.0,20080.0,26.16,8.6,-5.35
2004-09-03,264.0,265.5,258.5,262.8,260.890479712,101415.0,1474.0,26458208.0,59025.0,58.2,7.0,-1.2
2004-09-06,265.1,268.35,264.1,265.55,266.247482461,38629.0,873.0,10284874.0,19289.0,49.93,4.25,0.45
2004-09-07,265.5,266.5,264.0,265.15,265.065190381,77266.0,842.0,20480527.0,62541.0,80.94,2.5,-0.35
2004-09-08,270.0,270.0,262.1,263.55,263.945945946,25234.0,486.0,6660412.0,13998.0,55.47,7.9,-6.45
2004-09-09,265.0,265.5,254.0,255.6,258.449940855,107363.0,1637.0,27747961.0,65442.0,60.95,11.5,-9.4
2004-09-10,257.0,264.45,255.0,258.9,258.742918268,165002.0,2615.0,42693099.0,50258.0,30.46,9.45,1.9
2004-09-13,258.0,262.95,257.0,260.2,260.432943412,30519.0,532.0,7948153.0,16902.0,55.38,5.95,2.2
2004-09-14,257.1,263.7,257.1,261.55,261.538956747,40853.0,757.0,10684651.0,20661.0,50.57,6.6,4.45
2004-09-15,261.15,266.4,261.15,263.85,264.007787038,91434.0,1097.0,24139288.0,59096.0,64.63,5.25,2.7
2004-09-16,263.8,266.0,262.55,265.25,264.762540125,61682.0,790.0,16331083.0,45582.0,73.9,3.45,1.45
2004-09-17,266.6,274.0,265.9,271.25,270.761774549,101299.0,1977.0,27427897.0,49488.0,48.85,8.1,4.65
2004-09-20,272.85,283.0,272.25,277.7,279.558508914,231375.0,3294.0,64682850.0,123500.0,53.38,10.75,4.85
2004-09-21,277.5,281.7,275.55,277.45,277.937673866,144867.0,1659.0,40263997.0,101822.0,70.29,6.15,-0.05
2004-09-22,278.0,282.0,276.1,279.3,279.642461673,64119.0,1135.0,17930395.0,26746.0,41.71,5.9,1.3
2004-09-23,280.0,280.0,267.0,269.55,273.042954603,47492.0,807.0,12967356.0,31194.0,65.68,13.0,-10.45
2004-09-24,269.95,271.5,267.7,270.35,269.4675598,63671.0,712.0,17157269.0,43168.0,67.8,3.8,0.4
2004-09-27,274.0,274.0,269.25,272.85,271.667139028,32461.0,591.0,8818587.0,13749.0,42.36,4.75,-1.15
2004-09-28,272.75,273.0,263.5,266.05,267.946884255,114467.0,1349.0,30671076.0,96163.0,84.01,9.5,-6.7
2004-09-29,268.95,268.95,263.0,264.2,265.081243988,31190.0,865.0,8267884.0,19531.0,62.62,5.95,-4.75
