Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2003-07-09,158.4,170.25,156.1,164.05,165.601766331,16127441.0,72917.0,2670732716.0,,,14.15,5.65
2003-07-10,165.95,168.25,164.35,166.95,166.685458058,3565356.0,20210.0,594292998.0,,,3.9,1.0
2003-07-11,167.5,174.8,166.25,173.4,172.271289295,4566262.0,25626.0,786635842.0,,,8.55,5.9
2003-07-14,175.0,179.2,174.05,178.2,177.760520094,2336576.0,14128.0,415350965.0,,,5.15,3.2
2003-07-15,179.8,181.8,173.0,176.35,176.785983384,2368760.0,16230.0,418763566.0,,,8.8,-3.45
2003-07-16,178.0,179.15,175.5,176.95,177.474786169,1189605.0,8219.0,211124893.0,,,3.65,-1.05
2003-07-17,177.2,178.25,170.4,171.4,175.452946233,1342358.0,9721.0,235520666.0,,,7.85,-5.8
2003-07-18,170.0,172.0,164.35,167.45,167.734658933,1742708.0,13573.0,292312532.0,,,7.65,-2.55
2003-07-21,168.4,169.5,163.25,164.2,166.568029866,1088860.0,7896.0,181369265.0,,,6.25,-4.2
2003-07-22,164.0,169.2,162.15,167.8,165.003516304,1431617.0,11183.0,236221839.0,,,7.05,3.8
2003-07-23,169.2,178.0,169.05,174.75,174.411297376,4618860.0,26699.0,805581365.0,,,8.95,5.55
2003-07-24,174.5,176.75,172.65,174.05,174.427798417,1402123.0,9819.0,244569228.0,,,4.1,-0.45
2003-07-25,174.7,175.0,172.3,173.65,173.649416313,885064.0,7141.0,153690847.0,,,2.7,-1.05
2003-07-28,175.0,180.45,175.0,179.35,177.950822267,2267998.0,13243.0,403592109.0,,,5.45,4.35
2003-07-29,180.15,182.8,179.15,180.2,180.913389859,2731978.0,15243.0,494251401.0,,,3.65,0.05
2003-07-30,180.8,184.5,179.85,180.9,182.218769245,1859233.0,10670.0,338787149.0,,,4.65,0.1
2003-07-31,181.9,183.6,180.0,180.65,181.772861301,1320277.0,7574.0,239990528.0,,,3.6,-1.25
2003-08-01,181.7,189.0,178.7,187.8,184.419834411,3109626.0,18269.0,573476712.0,,,10.3,6.1
2003-08-04,187.15,198.7,186.55,197.95,194.598756531,4231872.0,24297.0,823517029.0,,,12.15,10.8
2003-08-05,198.1,203.5,192.8,193.9,197.999064812,3815277.0,23624.0,755421278.0,,,10.7,-4.2
2003-08-06,192.9,197.35,189.6,191.75,193.128565656,2846180.0,18556.0,549678661.0,,,7.75,-1.15
2003-08-07,192.0,195.95,190.8,195.3,194.174937659,1177791.0,8517.0,228697494.0,,,5.15,3.3
2003-08-08,196.7,198.5,196.0,197.05,197.363110125,849252.0,6989.0,167611016.0,,,2.5,0.35
2003-08-11,197.1,204.1,194.95,202.65,201.734283611,2587315.0,14813.0,521950138.0,,,9.15,5.55
2003-08-12,203.4,212.0,203.4,210.85,207.650903075,3348835.0,20230.0,695388612.0,,,8.6,7.45
2003-08-13,212.3,219.6,211.25,218.05,215.830428002,3055475.0,21125.0,659464477.0,,,8.35,5.75
2003-08-14,221.0,224.55,215.0,216.95,220.239796564,2939304.0,18547.0,647351715.0,,,9.55,-4.05
2003-08-18,217.5,220.85,215.4,217.15,217.829280788,1342983.0,9526.0,292541021.0,,,5.45,-0.35
2003-08-19,219.9,220.0,215.0,215.85,216.534915937,1152110.0,7495.0,249472042.0,,,5.0,-4.05
2003-08-20,218.0,228.0,216.4,225.55,223.049315369,2600305.0,15904.0,579996250.0,,,11.6,7.55
2003-08-21,226.6,228.8,223.25,228.0,226.612907714,2220641.0,12392.0,503225914.0,,,5.55,1.4
2003-08-22,228.0,232.8,226.0,229.5,229.413374589,1960464.0,12555.0,449756662.0,,,6.8,1.5
2003-08-25,230.0,231.7,216.2,220.5,222.71391211,1838844.0,11822.0,409536141.0,,,15.5,-9.5
2003-08-26,219.1,235.45,219.1,233.85,228.699342527,1665011.0,12586.0,380786921.0,,,16.35,14.75
2003-08-27,235.0,237.45,232.2,233.85,235.127587701,951134.0,7051.0,223637843.0,,,5.25,-1.15
2003-08-28,236.0,236.0,226.0,227.95,229.184466036,1197711.0,8802.0,274496756.0,,,10.0,-8.05
2003-08-29,227.0,238.4,227.0,235.45,235.415959535,1319650.0,9096.0,310666671.0,,,11.4,8.45
2003-09-01,234.9,237.0,231.9,235.8,234.773136126,955000.0,6328.0,224208345.0,,,5.1,0.9
2003-09-02,235.0,237.0,224.0,226.5,226.745419794,2202139.0,13003.0,499324932.0,,,13.0,-8.5
2003-09-03,226.0,231.65,221.1,222.5,226.640645162,1835879.0,13004.0,416084801.0,,,10.55,-3.5
2003-09-04,222.0,225.0,218.75,222.15,221.515172959,1957232.0,9735.0,433556585.0,,,6.25,0.15
2003-09-05,223.8,230.0,222.4,229.65,225.965007328,1319562.0,9192.0,298174837.0,,,7.6,5.85
2003-09-08,231.5,234.0,227.55,228.75,230.823439733,765478.0,5674.0,176690265.0,,,6.45,-2.75
2003-09-09,228.0,231.0,225.9,228.8,227.865335024,1057491.0,5828.0,240965541.0,,,5.1,0.8
2003-09-10,226.0,230.35,225.8,227.85,227.943304304,544962.0,5201.0,124220439.0,,,4.55,1.85
2003-09-11,227.0,229.95,224.9,225.3,227.367730482,429774.0,3969.0,97716739.0,,,5.05,-1.7
2003-09-12,227.4,227.95,219.95,220.3,222.392700394,1098662.0,7479.0,244334409.0,,,8.0,-7.1
2003-09-15,221.0,222.0,207.0,208.15,211.331060753,1326246.0,10558.0,280276974.0,,,15.0,-12.85
2003-09-16,210.0,210.0,195.65,207.95,202.887031517,1665376.0,13706.0,337883193.0,,,14.35,-2.05
2003-09-17,207.0,219.7,207.0,215.75,215.104831923,1750421.0,10738.0,376524015.0,,,12.7,8.75
2003-09-18,213.0,215.0,203.1,205.25,209.218451343,1018831.0,9016.0,213158244.0,,,11.9,-7.75
2003-09-19,205.0,210.25,199.25,206.95,204.705363061,1024471.0,10643.0,209714708.0,,,11.0,1.95
2003-09-22,206.05,213.0,205.8,210.75,209.820396562,801488.0,8275.0,168168530.0,,,7.2,4.7
2003-09-23,210.0,214.5,208.2,213.5,211.135445936,669064.0,6983.0,141263126.0,,,6.3,3.5
2003-09-24,213.0,220.55,213.0,219.3,217.202239561,776045.0,7657.0,168558712.0,,,7.55,6.3
2003-09-25,219.0,219.6,213.0,214.2,216.652054695,633476.0,5712.0,137243877.0,,,6.6,-4.8
2003-09-26,214.2,217.7,213.2,214.6,215.357239891,801635.0,6555.0,172637901.0,,,4.5,0.4
2003-09-29,215.0,229.75,215.0,228.2,222.991146401,1480076.0,11856.0,330043844.0,,,14.75,13.2
2003-09-30,229.25,233.1,228.8,232.55,231.251267013,1496038.0,11811.0,345960683.0,,,4.3,3.3
2003-10-01,231.9,232.8,227.1,228.1,229.607769489,1473353.0,10059.0,338293296.0,,,5.7,-3.8
2003-10-03,229.0,235.2,228.0,234.35,232.4005446,1457583.0,10588.0,338743083.0,,,7.2,5.35
2003-10-06,236.15,242.95,235.5,241.2,240.019794952,1421524.0,10931.0,341193899.0,,,7.45,5.05
2003-10-07,241.0,246.3,236.0,237.25,242.165507791,903462.0,8438.0,218787334.0,,,10.3,-3.75
