Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2004-08-25,1076.0,1080.0,979.0,987.5,1004.16387169,6536309.0,121534.0,6563525352.0,1858962.0,28.44,101.0,-88.5
2004-08-26,992.7,996.7,975.3,978.55,985.243466386,2243016.0,44222.0,2209916859.0,497612.0,22.18,21.4,-14.15
2004-08-27,982.45,982.45,958.55,962.35,969.424007711,1503317.0,31798.0,1457351591.0,263508.0,17.53,23.9,-20.1
2004-08-30,967.7,989.75,965.0,986.25,982.607932476,1124819.0,23698.0,1105256072.0,220874.0,19.64,24.75,18.55
2004-08-31,989.0,990.0,976.0,987.95,982.25827573,1135066.0,19871.0,1114927972.0,282277.0,24.87,14.0,-1.05
2004-09-01,988.5,994.9,983.5,987.8,989.457591857,986320.0,17909.0,975921812.0,246817.0,25.02,11.4,-0.7
2004-09-02,988.0,1004.85,988.0,993.45,997.231304414,1050395.0,23792.0,1047486776.0,171371.0,16.31,16.85,5.45
2004-09-03,996.0,1000.25,989.75,997.95,996.759319496,526316.0,12411.0,524610378.0,101989.0,19.38,10.5,1.95
2004-09-06,998.0,1004.85,993.15,995.0,999.174674239,401828.0,10817.0,401496361.0,93129.0,23.18,11.7,-3.0
2004-09-07,997.0,1000.0,994.3,995.35,997.297043373,263645.0,7404.0,262932379.0,70956.0,26.91,5.7,-1.65
2004-09-08,998.0,1000.0,991.25,993.5,995.070838486,257953.0,7258.0,256681508.0,62750.0,24.33,8.75,-4.5
2004-09-09,993.0,998.0,978.25,980.0,984.789785691,412441.0,10947.0,406167684.0,142169.0,34.47,19.75,-13.0
2004-09-10,980.25,990.0,979.0,988.75,984.978593262,299999.0,8913.0,295492593.0,58164.0,19.39,11.0,8.5
2004-09-13,991.4,1015.65,991.0,1004.05,1007.40605837,928204.0,25363.0,935078333.0,167195.0,18.01,24.65,12.65
2004-09-14,1016.0,1018.8,1003.55,1015.45,1012.6164659,806807.0,19608.0,816986053.0,118659.0,14.71,15.25,-0.55
2004-09-15,1017.0,1019.9,1001.0,1005.7,1009.46143367,543194.0,12999.0,548333394.0,118851.0,21.88,18.9,-11.3
2004-09-16,1008.0,1015.0,1003.0,1008.1,1009.86397903,432573.0,10310.0,436839891.0,131022.0,30.29,12.0,0.1
2004-09-17,1014.0,1029.5,1011.0,1024.1,1020.78393627,717816.0,22195.0,732735042.0,149867.0,20.88,18.5,10.1
2004-09-20,1032.05,1038.0,1020.0,1022.85,1029.10977679,510454.0,13422.0,525313202.0,123122.0,24.12,18.0,-9.2
2004-09-21,1025.0,1049.0,1023.0,1045.6,1039.60584686,735506.0,19272.0,764636338.0,144973.0,19.71,26.0,20.6
2004-09-22,1050.0,1056.0,1037.25,1051.95,1048.00233753,898813.0,18560.0,941958125.0,208106.0,23.15,18.75,1.95
2004-09-23,1044.65,1048.0,1027.0,1029.45,1037.62244533,802697.0,15051.0,832896424.0,306162.0,38.14,21.0,-15.2
2004-09-24,1031.0,1040.0,1026.05,1028.95,1033.7175778,390157.0,10274.0,403312149.0,50785.0,13.02,13.95,-2.05
2004-09-27,1030.0,1032.25,1015.0,1020.0,1022.97798825,431406.0,11731.0,441318842.0,69149.0,16.03,17.25,-10.0
2004-09-28,1024.0,1027.8,1012.15,1015.15,1020.99373341,394154.0,9127.0,402428764.0,89352.0,22.67,15.65,-8.85
2004-09-29,1023.8,1032.65,1017.1,1030.25,1024.01233951,488269.0,10692.0,499993481.0,103526.0,21.2,15.55,6.45
2004-09-30,1032.35,1040.7,1024.0,1027.1,1034.59117567,537627.0,10280.0,556224150.0,176197.0,32.77,16.7,-5.25
2004-10-01,1029.8,1056.45,1027.0,1048.25,1044.46827605,491947.0,15109.0,513823035.0,140836.0,28.63,29.45,18.45
2004-10-04,1055.0,1081.0,1053.0,1076.8,1070.95548714,615485.0,19885.0,659157038.0,226906.0,36.87,28.0,21.8
2004-10-05,1080.0,1089.1,1075.6,1080.2,1083.49520387,760301.0,17262.0,823782487.0,195801.0,25.75,13.5,0.2
2004-10-06,1080.0,1103.0,1075.25,1081.15,1089.83894533,816406.0,20385.0,889751054.0,157711.0,19.32,27.75,1.15
2004-10-07,1085.0,1099.5,1084.0,1096.75,1092.65098912,456215.0,12583.0,498483771.0,122011.0,26.74,15.5,11.75
2004-10-08,1094.7,1110.0,1093.0,1097.8,1102.68016838,456831.0,14849.0,503738484.0,94476.0,20.68,17.0,3.1
2004-10-09,1099.1,1104.0,1094.9,1100.2,1099.56617448,140462.0,4749.0,154447264.0,42103.0,29.97,9.1,1.1
2004-10-11,1106.0,1198.0,1085.7,1089.4,1099.49627233,585352.0,12690.0,643592342.0,180239.0,30.79,112.3,-16.6
2004-10-12,1105.0,1140.0,1078.4,1085.05,1094.10826158,858855.0,19655.0,939680351.0,198067.0,23.06,61.6,-19.95
2004-10-14,1098.0,1123.95,1089.0,1116.6,1107.89498921,898660.0,23690.0,995620911.0,219135.0,24.38,34.95,18.6
2004-10-15,1122.0,1140.75,1117.0,1126.1,1128.94089386,915218.0,22942.0,1033227027.0,240995.0,26.33,23.75,4.1
2004-10-18,1132.0,1141.9,1126.0,1137.7,1135.65266899,697306.0,14464.0,791897420.0,298072.0,42.75,15.9,5.7
2004-10-19,1140.1,1148.0,1134.25,1140.45,1141.04592162,426248.0,11214.0,486368542.0,76389.0,17.92,13.75,0.35
2004-10-20,1145.0,1148.9,1127.1,1131.1,1140.32368763,332376.0,9374.0,379016226.0,75074.0,22.59,21.8,-13.9
