Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
1997-05-19,151.0,153.25,149.5,150.3,151.28515625,6400.0,44.0,968225.0,,,3.75,-0.7
1997-05-20,147.75,147.75,144.75,145.5,146.467105263,3800.0,29.0,556575.0,,,3.0,-2.25
1997-05-21,145.5,147.75,144.75,144.75,146.296875,1600.0,10.0,234075.0,,,3.0,-0.75
1997-05-22,142.5,143.25,141.75,143.25,142.5,800.0,7.0,114000.0,,,1.5,0.75
1997-05-23,142.5,142.5,139.5,140.25,140.517857143,2800.0,21.0,393450.0,,,3.0,-2.25
1997-05-26,143.25,143.25,135.0,135.75,137.158536585,4100.0,15.0,562350.0,,,8.25,-7.5
1997-05-27,132.75,135.0,128.25,132.0,132.230113636,8800.0,41.0,1163625.0,,,6.75,-0.75
1997-05-28,134.25,139.5,132.0,138.0,135.875,6000.0,33.0,815250.0,,,7.5,3.75
1997-05-29,140.25,144.0,140.25,143.25,140.753090235,80900.0,38.0,11386925.0,,,3.75,3.0
1997-05-30,145.5,153.0,145.5,148.5,148.561643836,7300.0,41.0,1084500.0,,,7.5,3.0
1997-06-02,154.5,155.25,151.5,153.75,154.949268293,102500.0,18.0,15882300.0,,,3.75,-0.75
1997-06-03,157.5,157.5,156.75,157.5,157.33125,4000.0,21.0,629325.0,,,0.75,0.0
1997-06-04,157.5,165.0,157.5,163.5,163.014492754,55200.0,30.0,8998400.0,,,7.5,6.0
1997-06-05,165.0,175.5,164.25,173.25,168.73968254,63000.0,55.0,10630600.0,,,11.25,8.25
1997-06-06,174.75,185.25,174.75,182.25,182.795572917,19200.0,80.0,3509675.0,,,10.5,7.5
1997-06-09,189.0,189.75,173.25,175.5,180.993690852,31700.0,113.0,5737500.0,,,16.5,-13.5
1997-06-10,175.5,180.75,174.75,180.0,178.291666667,12600.0,63.0,2246475.0,,,6.0,4.5
1997-06-11,183.0,184.5,181.5,183.0,183.012096774,6200.0,46.0,1134675.0,,,3.0,0.0
1997-06-12,183.0,183.75,182.25,182.25,182.942307692,1300.0,13.0,237825.0,,,1.5,-0.75
1997-06-13,180.75,183.0,174.75,177.75,182.517970402,47300.0,75.0,8633100.0,,,8.25,-3.0
1997-06-16,179.25,179.25,174.75,174.75,175.575,1000.0,10.0,175575.0,,,4.5,-4.5
1997-06-17,171.0,171.75,164.25,164.25,167.783653846,5200.0,32.0,872475.0,,,7.5,-6.75
1997-06-19,165.0,166.5,165.0,165.0,165.219827586,11600.0,11.0,1916550.0,,,1.5,0.0
1997-06-20,162.75,162.75,161.25,162.0,164.996323529,6800.0,15.0,1121975.0,,,1.5,-0.75
1997-06-23,165.0,177.75,165.0,171.0,170.836363636,5500.0,31.0,939600.0,,,12.75,6.0
1997-06-24,169.5,171.0,168.75,171.0,170.025,3000.0,21.0,510075.0,,,2.25,1.5
1997-06-25,171.75,177.75,171.75,177.75,178.318823529,85000.0,49.0,15157100.0,,,6.0,6.0
1997-06-26,178.5,183.0,177.0,177.75,180.150692841,43300.0,52.0,7800525.0,,,6.0,-0.75
1997-06-27,175.5,182.25,175.5,180.0,179.987551867,24100.0,73.0,4337700.0,,,6.75,4.5
1997-06-30,177.75,177.75,177.0,177.75,177.6,2000.0,10.0,355200.0,,,0.75,0.0
1997-07-01,180.0,180.0,174.0,175.5,176.28125,4800.0,16.0,846150.0,,,6.0,-4.5
1997-07-02,175.5,180.0,175.5,180.0,178.333333333,900.0,9.0,160500.0,,,4.5,4.5
1997-07-03,180.75,180.75,176.25,176.25,178.764705882,1700.0,13.0,303900.0,,,4.5,-4.5
1997-07-04,177.75,177.75,166.5,167.25,171.57,2500.0,20.0,428925.0,,,11.25,-10.5
1997-07-07,165.0,165.0,151.5,151.5,157.427184466,10300.0,56.0,1621500.0,,,13.5,-13.5
1997-07-08,144.75,145.5,136.5,144.0,141.033632287,22300.0,113.0,3145050.0,,,9.0,-0.75
1997-07-09,149.25,158.25,149.25,156.0,155.536973345,116300.0,89.0,18088950.0,,,9.0,6.75
1997-07-10,156.0,157.5,146.25,147.75,151.166666667,3600.0,25.0,544200.0,,,11.25,-8.25
1997-07-11,147.0,149.25,145.5,146.25,147.246226415,5300.0,30.0,780405.0,,,3.75,-0.75
1997-07-14,144.0,144.75,144.0,144.75,144.375,400.0,4.0,57750.0,,,0.75,0.75
1997-07-15,144.75,144.75,141.0,141.75,141.807692308,3900.0,23.0,553050.0,,,3.75,-3.0
1997-07-16,143.25,143.25,139.5,141.0,142.730769231,1300.0,9.0,185550.0,,,3.75,-2.25
