Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
1997-03-20,368.25,381.25,368.25,380.5,376.55303030303,3300.0,18.0,1242625.0,,,13.0,12.25
1997-03-21,375.25,375.25,368.0,370.75,375.109375,1600.0,12.0,600175.0,,,7.25,-4.5
1997-03-25,374.5,375.0,374.5,375.0,384.89399736148,379000.0,10.0,145874825.0,,,0.5,0.5
1997-03-26,380.0,385.0,378.0,383.75,385.7243705036,55600.0,26.0,21446275.0,,,7.0,3.75
1997-03-27,380.0,390.0,378.5,390.0,389.32578740157,50800.0,18.0,19777750.0,,,11.5,10.0
1997-04-03,385.0,385.0,381.0,381.25,384.34375,2400.0,12.0,922425.0,,,4.0,-3.75
1997-04-04,380.0,383.0,379.0,379.75,376.10260273973,7300.0,12.0,2745549.0,,,4.0,-0.25
1997-04-07,376.0,376.0,376.0,376.0,376.0,100.0,1.0,37600.0,,,0.0,0.0
1997-04-21,382.0,382.0,376.0,378.75,380.890625,1600.0,8.0,609425.0,,,6.0,-3.25
1997-05-02,383.0,384.5,382.25,382.5,383.28125,800.0,8.0,306625.0,,,2.25,-0.5
1997-05-05,382.0,396.0,380.0,388.25,389.25757575758,3300.0,29.0,1284550.0,,,16.0,6.25
1997-05-12,411.5,421.0,410.25,411.25,411.05029901751,234100.0,23.0,96226875.0,,,10.75,-0.25
1997-05-13,411.0,419.75,403.0,406.25,409.53236156949,545400.0,50.0,223358950.0,,,16.75,-4.75
1997-05-14,408.25,415.0,408.25,413.75,410.04752066116,290400.0,28.0,119077800.0,,,6.75,5.5
1997-05-21,403.0,411.0,403.0,406.0,407.7276119403,6700.0,15.0,2731775.0,,,8.0,3.0
1997-05-22,405.25,413.0,404.5,405.5,409.48648648649,3700.0,22.0,1515100.0,,,8.5,0.25
1997-05-23,402.0,407.75,402.0,405.75,405.07666666667,7500.0,15.0,3038075.0,,,5.75,3.75
1997-05-26,401.25,408.5,401.25,407.5,405.81730769231,5200.0,18.0,2110250.0,,,7.25,6.25
1997-05-27,406.0,406.0,402.5,402.5,405.00913242009,21900.0,17.0,8869700.0,,,3.5,-3.5
1997-05-28,399.5,403.0,395.0,397.5,398.81547619048,4200.0,22.0,1675025.0,,,8.0,-2.0
1997-05-29,395.0,398.0,395.0,396.0,395.9967384214,153300.0,23.0,60706300.0,,,3.0,1.0
1997-05-30,395.0,400.0,395.0,397.25,397.875,1600.0,14.0,636600.0,,,5.0,2.25
1997-06-02,400.0,404.0,397.75,397.75,402.89069264069,46200.0,18.0,18613550.0,,,6.25,-2.25
1997-06-09,390.5,391.25,386.75,386.75,388.91666666667,1200.0,8.0,466700.0,,,4.5,-3.75
1997-06-10,387.25,405.0,384.75,400.25,400.1665621079,318800.0,45.0,127573100.0,,,20.25,13.0
1997-06-11,407.0,412.0,404.0,408.75,409.69677419355,124000.0,55.0,50802400.0,,,8.0,1.75
1997-07-08,448.0,448.25,446.0,446.0,449.90534855769,83200.0,13.0,37432125.0,,,2.25,-2.0
1997-07-14,440.0,458.0,440.0,453.0,450.32638888889,21600.0,56.0,9727050.0,,,18.0,13.0
1997-07-15,453.0,461.25,452.0,461.0,457.52468921389,109400.0,136.0,50053201.0,,,9.25,8.0
1997-07-16,464.5,466.0,452.25,459.75,457.15366541353,106400.0,112.0,48641150.0,,,13.75,-4.75
